plate,delta_x_px,delta_y_px,scatter_px,offset_arcsec,n_tiles,status
XE100,0.512769792292147,0.8468308635001449,0.0596299568486141,1.6820889178332314,4,ok
XE101,0.6205060423963005,0.9018412731088574,0.0774870956260447,1.8600073271600743,4,ok
XE102,0.7199923993593984,1.073732549737997,0.0623650516564941,2.196593195212282,4,ok
XE104,0.8802843081821266,0.9868008293005914,0.077302370477999,2.2468721434745627,4,ok
XE105,-0.0147572830792341,-0.011209291025807,0.0195079989819732,0.0314876305839996,4,ok
XE106,0.8920251308381921,0.953827587924934,0.059163635255519,2.218957493811014,4,ok
XE107,1.0546314868288391,0.9891780039579317,0.0252832165837915,2.456810458309636,4,ok
XE108,0.0060628285773418,0.0091573426516333,0.0127185730662203,0.0186605298113111,4,ok
XE109,0.8794493367186078,0.9501524222473564,0.0904059459630379,2.1998306598358,4,ok
XE110,1.06783334038073,0.8097171257190894,0.079766813704028,2.277015102708434,4,ok
XE111,1.159102200864254,1.0094682565297717,0.043256562254283,2.611641748603155,4,ok
XE112,1.040626733600675,0.8619230973481535,0.0767765350514081,2.2958952988899224,4,ok
XE113,0.8374422242159199,1.1609092423495897,0.0486267919630413,2.432185611776857,4,ok
XE114,1.122908010903302,0.9343896562763804,0.0738358290966923,2.4821127466529944,4,ok
XE115,0.9313900723873304,0.9552457919344306,0.0525401521269994,2.266895221481336,4,ok
XE116,1.076779564968092,0.7901086685865266,0.053175600410267,2.2692780218874904,4,ok
XE117,1.190807622727334,0.9233465955176144,0.0518039103420673,2.560313633403533,4,ok
XE118,0.975612070752959,0.7784248982970894,0.0480526203047138,2.120676907197449,4,ok
XE119,0.961073962201226,0.985613098777776,0.0328131363778563,2.339048836962125,4,ok
XE120,0.958781214279952,0.902061971367857,0.082202369482434,2.2367635120705875,4,ok
XE121,0.8115354623068924,1.092111663176638,0.1283692762325774,2.3118612876507,4,ok
XE122,0.851057825467251,0.9654144509217986,0.0287030586666887,2.1867359954506864,4,ok
XE123,0.676254701011203,1.1558203070180753,0.0726119764479738,2.2753225616143213,4,ok
XE124,0.6319271925012799,0.9122213577238654,0.0428868978917207,1.885546668918356,4,ok
XE125,0.734890823693604,1.0559690081431654,0.0274212210160178,2.185950701064562,4,ok
XE126,-0.013003084551201,-0.009704058378702,0.0201672955541633,0.0275681086943339,4,ok
XE127,0.9879133409194764,0.9021050060732704,0.0568607378350785,2.273117028317851,4,ok
XE128,0.8048243800176351,1.0336408071207188,0.0530179001602511,2.225881161864206,4,ok
XE129,0.8023214293625642,0.9102548318760456,0.111711009613328,2.0616710403904825,4,ok
XE130,0.8748047755971129,1.0072467807592602,0.0420919434201171,2.266798100301522,4,ok
XE131,0.8739652224357997,1.031438317795164,0.092710655290898,2.29706745124721,4,ok
XE132,0.903524234836368,1.0155630408498837,0.043726531530437,2.309629042784916,4,ok
