plate_id,ra_deg,dec_deg
XE428,146.004333,17.338694
XE429,151.981375,17.294000
XE430,157.957167,17.257000
XE431,163.931917,17.228139
XE432,169.905917,17.207667
XE433,175.788958,17.169194
XE434,181.852750,17.192833
XE435,187.826042,17.198583
XE436,193.799708,17.213083
XE437,199.773917,17.236167
XE438,205.748958,17.267611
XE439,211.725125,17.307028
XE440,217.702625,17.354000
XE441,223.681708,17.408056
XE442,229.662583,17.468583
XE443,235.645500,17.534917
XE444,241.630625,17.606333
XE445,247.618125,17.682083
XE446,253.608167,17.761333
XE447,259.600875,17.843194
XE448,265.596333,17.926806
XE449,271.594583,18.011250
XE450,277.595750,18.095556
XE451,283.599792,18.178861
XE452,289.606750,18.260222
XE453,295.616458,18.338750
XE454,301.827917,18.364972
XE455,307.643958,18.483861
XE456,313.661417,18.548833
XE457,319.681208,18.607806
XE458,325.702958,18.660111
XE459,331.726542,18.705139
XE460,337.751667,18.742444
XE461,343.777958,18.771556
XE462,349.805250,18.792194
XE463,355.833125,18.804111
XE464,1.859792,12.807194
XE465,7.878333,12.801389
XE466,13.896625,12.786778
XE467,19.914458,12.763528
XE468,25.931583,12.731889
XE469,31.947792,12.692194
XE470,37.962917,12.644917
XE471,43.976792,12.590556
XE472,49.989292,12.529694
XE473,56.000167,12.463056
XE474,62.009417,12.391333
XE475,68.016917,12.315333
XE476,74.022583,12.235889
XE477,80.026375,12.153861
XE478,86.028250,12.070167
XE479,92.028250,11.985722
XE480,98.026375,11.901444
XE481,104.022667,11.818250
XE482,110.017208,11.737056
XE483,116.010042,11.658750
XE484,122.001250,11.584194
XE485,127.991000,11.514222
XE486,133.979375,11.449528
XE487,139.966500,11.390889
XE488,145.952500,11.338889
XE489,151.937583,11.294139
XE490,157.921833,11.257083
XE491,163.905500,11.228167
XE492,169.888625,11.207694
XE493,175.871500,11.195861
XE494,181.854208,11.192806
XE495,187.836917,11.198583
XE496,193.819833,11.213111
XE497,199.803125,11.236250
XE498,205.786958,11.267694
XE499,211.771458,11.307194
XE500,217.756792,11.354222
XE501,223.743125,11.408333
XE502,229.730625,11.468944
XE503,235.719417,11.535333
XE504,241.709625,11.606833
XE505,247.701333,11.682639
XE506,253.694667,11.761917
XE507,259.689750,11.843806
XE508,265.686625,11.927444
XE509,274.807292,8.943083
XE510,277.685875,12.096194
XE511,283.688375,12.179472
